Route-Key,Predecessor-Curvature,Predecessor-Elevation,Predecessor-SpeedLimit,Predecessor-LaneNum,Junction-Curvature,Junction-ConnectedRoad,Successor-Curvature,Successor-Elevation,Successor-SpeedLimit,Successor-LaneNum,NumberOfLanes
122404,STRAIGHT,DOWNHILL,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,100,2
421302,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,010,1
022404,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,100,3
0223c1,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,011,COMPLEX_CURVATURE,FLAT,NORMAL,001,1
020502,STRAIGHT,FLAT,NORMAL,010,STRAIGHT,101,STRAIGHT,FLAT,NORMAL,010,2
021412,STRAIGHT,FLAT,NORMAL,010,LEFT_CURVATURE,100,STRAIGHT,DOWNHILL,NORMAL,010,1
441304,LEFT_CURVATURE,FLAT,NORMAL,100,LEFT_CURVATURE,011,STRAIGHT,FLAT,NORMAL,100,2
220402,STRAIGHT,UPHILL,NORMAL,010,STRAIGHT,100,STRAIGHT,FLAT,NORMAL,010,2
041502,STRAIGHT,FLAT,NORMAL,100,LEFT_CURVATURE,101,STRAIGHT,FLAT,NORMAL,010,3
022402,STRAIGHT,FLAT,NORMAL,010,RIGHT_CURVATURE,100,STRAIGHT,FLAT,NORMAL,010,2
040484,STRAIGHT,FLAT,NORMAL,100,STRAIGHT,100,RIGHT_CURVATURE,FLAT,NORMAL,100,2
421442,LEFT_CURVATURE,FLAT,NORMAL,010,LEFT_CURVATURE,100,LEFT_CURVATURE,FLAT,NORMAL,010,6
